id,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,subject
285,What is the CSS 'caret-color' property used for?,Changes the color of the insertion caret,TRUE,Alters the color of list item markers,FALSE,Modifies the color of text,FALSE,Adjusts the highlight color of selected text,FALSE,css
286,How do you create a CSS tooltip with arrow?,Using the ::after pseudo-element to style the arrow,TRUE,Implementing a tooltip-arrow() function,FALSE,Applying arrow graphics,FALSE,Using JavaScript to draw the arrow,FALSE,css
287,Describe the CSS 'will-change' property.,Hints to the browser how an element is expected to change,TRUE,Changes the will of an element dynamically,FALSE,Alters the change rate of a property,FALSE,Indicates changeable properties for transitions,FALSE,css
288,What is the CSS 'gap' property used for in the 'grid' layout?,Specifies the gap between grid rows and columns,TRUE,Defines the grid's border width,FALSE,Sets the maximum gap size,FALSE,Controls the overflow of grid items,FALSE,css
289,How can you create a CSS tabbed navigation menu?,Using CSS to style the tabs and JavaScript for interaction,TRUE,Implementing tab-navigation() function,FALSE,Using the <tabs> HTML element,FALSE,Applying automatic tab styling,FALSE,css
290,Explain the CSS 'hyphens' property.,Controls hyphenation of text,TRUE,Defines the style of hyphens in a list,FALSE,Automates the insertion of hyphens in URLs,FALSE,Adjusts the hyphenation in mathematical expressions,FALSE,css
291,What is the purpose of the 'attr()' function in CSS?,Retrieves the value of an HTML attribute,TRUE,Modifies attributes of CSS properties,FALSE,Animates changes in attributes,FALSE,Creates new HTML attributes dynamically,FALSE,css
292,How do you create a CSS hamburger button animation?,Using CSS transitions and transforms on the hamburger icon,TRUE,Applying the hamburger-animation() function,FALSE,Activating the CSS hamburger mode,FALSE,Using a pre-built JavaScript library,FALSE,css
293,Describe the CSS 'initial-letter' property.,Enlarges the first letter of a block of text,TRUE,Initializes new letters in the alphabet,FALSE,Sets the starting letter for list items,FALSE,Determines the default font for text,FALSE,css
294,What is the CSS 'contain-intrinsic-size' property used for?,Provides a placeholder size for elements,TRUE,Restricts the size of a container to its intrinsic value,FALSE,Adjusts the size of a container based on its content,FALSE,Contains the size of child elements,FALSE,css
295,How can you create a CSS responsive video player?,Using relative widths and padding-bottom,TRUE,Employing the video-responsive() function,FALSE,Activating responsive mode in HTML5,FALSE,Implementing a specific video player library,FALSE,css
296,Explain the CSS 'text-justify' property.,Adjusts the spacing between words in justified text,TRUE,Ensures text is justified to the edges of the container,FALSE,Justifies text vertically,FALSE,Applies justification to characters,FALSE,css
297,What is the CSS 'ch' unit?,Represents the width of the character '0',TRUE,Defines a color hue,FALSE,Measures the height of characters,FALSE,Calculates the character spacing,FALSE,css
298,How do you create a CSS slide-in sidebar menu?,Using CSS transitions and transform properties,TRUE,Applying the slide-in() CSS function,FALSE,Utilizing a <sidebar> HTML element,FALSE,Enabling slide-in with a CSS property,FALSE,css
299,Describe the CSS 'place-content' property in the 'grid' layout.,A shorthand for align-content and justify-content,TRUE,Specifies the location of grid content,FALSE,Places content automatically in the grid,FALSE,Defines content placement strategies,FALSE,css
300,What is the purpose of the 'revert' keyword in CSS?,Reverts a property to its value defined by the user agent or the stylesheet origin,TRUE,Resets the property to its initial value,FALSE,Returns the property value to its inherited state,FALSE,Reverts changes made to the document,FALSE,css
301,What is JavaScript?,A programming language that enables interactive web pages,TRUE,A coffee-flavoring syrup,FALSE,A typesetting language for books,FALSE,A style sheet language for websites,FALSE,javascript
302,Explain the difference between JavaScript and Java.,"JavaScript is primarily for web pages, Java is a general-purpose language",TRUE,There is no difference,FALSE,JavaScript is a newer version of Java,FALSE,"Java is a scripting language, JavaScript is not",FALSE,javascript
303,How do you include JavaScript code in an HTML document?,Using the <script> tag,TRUE,Using the <js> tag,FALSE,Using the <javascript> tag,FALSE,Using the <scripting> tag,FALSE,javascript
304,What are JavaScript variables?,Containers for storing data values,TRUE,Variables that change only in JavaScript,FALSE,A type of JavaScript function,FALSE,Error messages in JavaScript,FALSE,javascript
305,What are the different ways to declare variables in JavaScript?,"var, let, and const",TRUE,"variable, constant, let",FALSE,"int, string, boolean",FALSE,"public, private, protected",FALSE,javascript
306,Describe the scope of variables in JavaScript.,Where the variables are accessible,TRUE,The memory size of variables,FALSE,The number of variables allowed,FALSE,The lifespan of variable values,FALSE,javascript
307,What is the purpose of the 'use strict' directive in JavaScript?,Enforces stricter parsing and error handling,TRUE,Optimizes performance,FALSE,Converts loose typing to strong typing,FALSE,Enables use of extra features,FALSE,javascript
308,How do you comment in JavaScript?,Using // for a single line and /* */ for multiple lines,TRUE,Using <!-- -->,FALSE,Using # and /* */,FALSE,Using -- and /**/,FALSE,javascript
309,Explain the difference between '==' and '===' in JavaScript.,"==' compares only values, '===' compares values and types",TRUE,They are the same,FALSE,"==' is strict, '===' is not",FALSE,"===' can compare functions, '==' cannot",FALSE,javascript
310,"What is NaN in JavaScript, and how can you check for it?","Represents Not-A-Number, checked with isNaN()",TRUE,"Stands for 'Name and Number', checked with isNameAndNumber()",FALSE,"It's a constant representing infinity, checked with isInfinity()",FALSE,"Represents 'Not Applicable Now', checked with isNotApplicableNow()",FALSE,javascript
311,How do you declare a constant variable in JavaScript?,Using the const keyword,TRUE,Using the constant keyword,FALSE,Using var keyword,FALSE,Using #define,FALSE,javascript
312,Describe the concept of hoisting in JavaScript.,Variable and function declarations are moved to the top of their containing scope,TRUE,All variables are automatically made global,FALSE,JavaScript automatically executes all function declarations first,FALSE,Variables can be used anywhere in the program,FALSE,javascript
313,What is a closure in JavaScript?,A combination of a function and the lexical environment within which it was declared,TRUE,A function that closes over its variables,FALSE,A method for closing browser windows,FALSE,An error that occurs when a function is undefined,FALSE,javascript
314,Explain the purpose of the 'this' keyword in JavaScript.,Refers to the object it belongs to,TRUE,Always refers to the global object,FALSE,A constant reference to the function itself,FALSE,Refers to the current function parameter,FALSE,javascript
315,How do you create an object in JavaScript?,"Using object literals, constructor functions, or the Object.create() method",TRUE,Using the create() method,FALSE,Using the new keyword only,FALSE,By declaring a variable,FALSE,javascript
316,Describe the difference between 'null' and 'undefined' in JavaScript.,"null is an assigned value meaning 'nothing', while undefined means a variable has been declared but not defined",TRUE,"null is a data type, undefined is not",FALSE,"null means a variable doesn't exist, undefined means it does",FALSE,There is no difference,FALSE,javascript
317,What is an IIFE (Immediately Invoked Function Expression) in JavaScript?,A function that runs as soon as it is defined,TRUE,A function that has no name and cannot be invoked,FALSE,A standard function declaration,FALSE,An asynchronous function execution,FALSE,javascript
318,How do you compare two objects for equality in JavaScript?,By comparing their properties and values manually or using a library like Lodash,TRUE,Using the == operator,FALSE,Using the === operator,FALSE,By checking if they reference the same memory location,FALSE,javascript
319,What are JavaScript data types?,"Undefined, Null, Boolean, Number, String, Symbol, BigInt, Object",TRUE,"Function, Object, Array, Wrapper",FALSE,"Public, Private, Protected, Static",FALSE,"Request, Response, Function, Object",FALSE,javascript
320,Describe the difference between primitive and reference data types in JavaScript.,"Primitive types are stored by value, reference types are stored by reference",TRUE,"Primitive types are immutable, reference types are mutable",TRUE,There is no difference in storage,FALSE,Primitive types can become reference types,FALSE,javascript
321,What is a callback function in JavaScript?,A function passed into another function as an argument,TRUE,A function that returns 'callback',FALSE,A type of return function,FALSE,An error callback function,FALSE,javascript
322,Explain the concept of asynchronous programming in JavaScript.,It allows for events to be processed in the background,TRUE,Code executes line by line waiting for each line to finish,FALSE,Only synchronous operations are allowed,FALSE,It's a type of synchronous execution,FALSE,javascript
323,How do you handle errors in JavaScript?,"Using try, catch, and finally statements",TRUE,Using if-else statements,FALSE,By setting all functions to async,FALSE,Using the error handling operator,FALSE,javascript
324,Describe the purpose of the 'try...catch' statement in JavaScript.,"To mark a block of statements to try, and to specify a response, should an exception be thrown",TRUE,To enhance performance by trying alternative methods,FALSE,To attempt to run code that might not be available,FALSE,To debug code by catching all thrown errors,FALSE,javascript
325,What is a promise in JavaScript?,An object representing the eventual completion or failure of an asynchronous operation,TRUE,A data structure that stores a resolved value,FALSE,A function that is guaranteed to execute,FALSE,A callback function that does not take any arguments,FALSE,javascript
326,How do you create and use a promise in JavaScript?,"new Promise() to create, then() and catch() to handle",TRUE,Using Promise.create() method,FALSE,By declaring a promise variable,FALSE,With async/await syntax directly,FALSE,javascript
327,Explain the concept of event handling in JavaScript.,Assigning a function to respond to user interactions,TRUE,Automatically handling browser events,FALSE,Event delegation to the DOM,FALSE,Using JavaScript to create HTML events,FALSE,javascript
328,How do you add an event listener to an HTML element in JavaScript?,Using the addEventListener() method,TRUE,By setting an HTML attribute,FALSE,Using the onEvent property,FALSE,By calling listenEvent() on an element,FALSE,javascript
329,What is the JavaScript Event Loop?,Handles asynchronous callbacks in a non-blocking way,TRUE,A loop that only manages user events,FALSE,A debugging tool for event handling,FALSE,Part of the browser that refreshes the page,FALSE,javascript
330,Describe the difference between 'nullish' (??) and 'logical OR' (||) operators in JavaScript.,"?? checks for null/undefined, || checks for any falsy value",TRUE,"No difference, they are identical",FALSE,?? is used only in Boolean contexts,FALSE,"|| can compare all types, ?? only objects",FALSE,javascript
331,How do you declare and use arrow functions in JavaScript?,Using the arrow (=>) syntax,TRUE,Arrow functions are declared with ->,FALSE,By defining functions inside arrows,FALSE,Using the keyword 'arrow',FALSE,javascript
332,What is the 'rest' parameter in JavaScript functions?,Allows a function to accept an indefinite number of arguments,TRUE,Specifies the mandatory number of arguments,FALSE,Pauses function execution,FALSE,Restarts function execution with new parameters,FALSE,javascript
333,Explain the 'spread' operator in JavaScript.,Expands an iterable's elements,TRUE,Compresses multiple values into one array,FALSE,Spreads values out evenly on the screen,FALSE,Ensures all elements receive an event,FALSE,javascript
334,How can you clone an object in JavaScript?,Using Object.assign() or the spread syntax,TRUE,With the clone() method,FALSE,By setting one object equal to another,FALSE,Using JSON.stringify and JSON.parse,TRUE,javascript
335,Describe the purpose of the 'map' method in JavaScript.,Creates a new array with the results of calling a function for every array element,TRUE,Repeats a function over each element in the array,FALSE,Directly modifies the original array,FALSE,Maps values from one type to another,FALSE,javascript
336,What is the difference between 'map' and 'forEach' in JavaScript?,"map returns a new array, forEach does not",TRUE,"map can modify the original array, forEach cannot",FALSE,There is no difference,FALSE,"forEach is used only with arrays, map can be used with objects",FALSE,javascript
337,How do you create and manipulate arrays in JavaScript?,"Using array methods like push, pop, shift, unshift",TRUE,Arrays cannot be manipulated once created,FALSE,Using only numerical indices for manipulation,FALSE,By declaring array constants only,FALSE,javascript
338,Explain the concept of 'destructuring' in JavaScript.,Extracts array elements or object properties into variables,TRUE,Breaking a program into smaller parts,FALSE,Destructuring a function into callable parts,FALSE,Destroying an array structure,FALSE,javascript
339,What are template literals in JavaScript?,String literals allowing embedded expressions and multi-line strings,TRUE,Templates for creating multiple similar literals,FALSE,HTML templates generated with JavaScript,FALSE,Literals that serve as templates for objects,FALSE,javascript
340,How do you work with asynchronous code using 'async/await' in JavaScript?,"async' declares an asynchronous function, 'await' waits for a promise",TRUE,"async' waits for an array, 'await' for an object",FALSE,Both keywords automate promise generation,FALSE,They synchronize all asynchronous code,FALSE,javascript
341,Describe the purpose of the 'fetch' API in JavaScript.,Used to make network requests and handle responses,TRUE,Fetches all images from a webpage,FALSE,Retrieves data from local storage,FALSE,Updates the DOM automatically,FALSE,javascript
342,How do you create and use classes in JavaScript (ES6)?,Using the 'class' keyword and constructor method,TRUE,Through function declarations only,FALSE,Using the 'createClass' method,FALSE,By declaring an object,FALSE,javascript
343,Explain the concept of inheritance in JavaScript.,Allows one class to inherit properties and methods from another,TRUE,Copying properties between two objects,FALSE,A process for duplicating browser tabs,FALSE,Inheriting user permissions from the OS,FALSE,javascript
344,How do you handle modules in JavaScript (ES6)?,Using 'import' and 'export' statements,TRUE,Through namespace declarations,FALSE,By linking multiple scripts,FALSE,Using module handlers like Webpack,FALSE,javascript
345,What is the purpose of the JavaScript 'localStorage' and 'sessionStorage' objects?,To store data in the browser across sessions (localStorage) or within a session (sessionStorage),TRUE,To synchronize data across multiple devices,FALSE,To enhance the memory allocation,FALSE,To create a new storage object,FALSE,javascript
346,How can you prevent the default behavior of an HTML element in JavaScript?,Using the 'preventDefault' method,TRUE,Calling the 'stopPropagation' method,FALSE,Invoking 'haltExecution' on an element,FALSE,Using 'disableDefault',FALSE,javascript
347,Describe the concept of event delegation in JavaScript.,Allows you to add a single event listener to a parent element to handle events fired by its children,TRUE,Delegates tasks to the browser's internal event handling system,FALSE,Assigns a new event to replace an existing one,FALSE,Automatically delegates events to all child elements,FALSE,javascript
348,What is the 'addEventListener' method used for in JavaScript?,To attach an event handler to an element,TRUE,To calculate the sum of event listeners,FALSE,To initiate all added event listeners,FALSE,To listen for specific data changes,FALSE,javascript
349,How do you check if an element has a specific class in JavaScript?,Using the 'classList.contains' method,TRUE,With the 'hasClass' method,FALSE,By employing 'checkClass' function,FALSE,Utilizing 'elementClassExists',FALSE,javascript
350,Explain the concept of 'closures' in JavaScript.,A function that retains access to its lexical scope even when executed outside of its original scope,TRUE,A method to close all functions and stop execution,FALSE,A feature to encapsulate code,FALSE,JavaScript method for closing browser tabs,FALSE,javascript
351,How can you create and use cookies in JavaScript?,Using 'document.cookie' to get and set cookies,TRUE,By calling the 'createCookie()' function,FALSE,Utilizing the 'cookie' HTML tag,FALSE,With a dedicated cookie creation syntax,FALSE,javascript
352,Describe the difference between 'localStorage' and 'sessionStorage' in JavaScript.,"localStorage' persists until explicitly cleared, while 'sessionStorage' lasts for the session duration",TRUE,"No difference, they are interchangeable",FALSE,localStorage' is faster than 'sessionStorage',FALSE,sessionStorage' has unlimited storage,FALSE,javascript
353,What is the JavaScript 'window' object used for?,Represents the browser's window and contains properties/methods to control it,TRUE,Only to open new browser windows,FALSE,To display windowed applications within the browser,FALSE,Managing OS-level windows,FALSE,javascript
354,How do you navigate to a different URL in JavaScript?,Using 'window.location.href',TRUE,Calling 'navigate.newURL()',FALSE,Invoking 'document.URL.change()',FALSE,Utilizing 'href.moveTo()',FALSE,javascript
355,What is the purpose of the 'setTimeout' function in JavaScript?,Executes a function after a specified number of milliseconds,TRUE,Sets the amount of time a user has to spend on a page,FALSE,Allocates a timeout for script execution,FALSE,Defines a timeout for browser response,FALSE,javascript
356,How do you compare two arrays for equality in JavaScript?,By converting them to strings and comparing,FALSE,Using the every() method to check each element,TRUE,Comparing each array index in a for loop,FALSE,Arrays cannot be compared for equality directly,FALSE,javascript
357,Explain the purpose of the 'reduce' method in JavaScript.,"Executes a reducer function on each element of the array, resulting in a single output value",TRUE,Reduces the size of an array by half,FALSE,Decreases the value of each array element,FALSE,Consolidates an array into fewer dimensions,FALSE,javascript
358,What is the JavaScript 'prototype' property?,Allows you to add new properties and methods to object constructors,TRUE,Specifies a prototype CSS property for an element,FALSE,Defines the initial model for a JavaScript object,FALSE,Is a property that defines the security prototype,FALSE,javascript
359,Describe the concept of event propagation in JavaScript.,Determines the order in which events are received on elements,TRUE,Ensures all events propagate from left to right,FALSE,Is a method to halt the execution of functions,FALSE,Refers to the rate at which an event escalates,FALSE,javascript
360,How do you prevent event propagation in JavaScript?,Using the stopPropagation() method,TRUE,Invoking preventDefault(),FALSE,Calling the halt() function,FALSE,Using stopImmediatePropagation(),TRUE,javascript
361,What is a callback hell (pyramid of doom) in JavaScript?,Nested callbacks stacked below each other leading to code that's hard to read and maintain,TRUE,A specific type of error thrown by asynchronous functions,FALSE,An official JavaScript debugging tool,FALSE,A game developed using JavaScript,FALSE,javascript
362,How can you handle callback hell in JavaScript?,By using Promises or async/await,TRUE,Renaming functions for clarity,FALSE,Increasing the timeout duration,FALSE,Splitting the code into smaller files,FALSE,javascript
363,Explain the concept of 'memoization' in JavaScript.,Caching the return values of a function based on its parameters,TRUE,Memorizing syntax and function names,FALSE,A JavaScript library for memory testing,FALSE,An algorithm for optimizing loops,FALSE,javascript
364,How do you create and manipulate dates and times in JavaScript?,Using the Date object,TRUE,With the Time object,FALSE,Utilizing string manipulation techniques,FALSE,Through array indices,FALSE,javascript
365,What is the JavaScript 'fetch' API used for?,Making network requests to fetch resources,TRUE,Fetching local files from the user's system,FALSE,Updating data in real-time,FALSE,Retrieving JavaScript files only,FALSE,javascript
366,Describe the purpose of the 'XMLHttpRequest' object in JavaScript.,Allows to make HTTP requests in JavaScript,TRUE,Requests XML files exclusively,FALSE,Converts JSON to XML,FALSE,Stores and retrieves XML data locally,FALSE,javascript
367,How do you create and use regular expressions in JavaScript?,Using /pattern/ syntax or new RegExp('pattern'),TRUE,Regular expressions cannot be used in JavaScript,FALSE,By calling the regex() method,FALSE,Through the RegExp application in the browser,FALSE,javascript
368,What is the purpose of the 'Object.keys' method in JavaScript?,Returns an array of a given object's own property names,TRUE,Unlocks hidden keys in an object,FALSE,Lists all keypress events for an object,FALSE,Generates keys for object encryption,FALSE,javascript
369,Explain the concept of 'currying' in JavaScript.,Transforming a function with multiple arguments into a sequence of nesting functions,TRUE,Cooking up new JavaScript functions dynamically,FALSE,Currying refers to error handling in JavaScript,FALSE,A method to import curry-flavored styles into web design,FALSE,javascript
370,How do you implement currying in JavaScript?,By using a series of functions that each take a single argument,TRUE,Currying cannot be implemented in JavaScript,FALSE,Using the curry() function provided by JavaScript,FALSE,By adding 'use curry' at the beginning of a script,FALSE,javascript
371,What is the JavaScript 'Promise.all' method used for?,Running multiple promises concurrently and waiting for all to complete,TRUE,Executing promises sequentially,FALSE,Resolving the first promise only,FALSE,Cancelling all promises if one fails,FALSE,javascript
372,Describe the difference between 'map' and 'filter' in JavaScript.,"map' transforms each element, 'filter' returns elements that meet a condition",TRUE,"map' returns a single value, 'filter' returns multiple",FALSE,"No difference, they perform the same operation",FALSE,"map' deletes elements, while 'filter' keeps them",FALSE,javascript
373,How do you convert a JSON string to an object in JavaScript?,Using JSON.parse(),TRUE,Using JSON.stringify(),FALSE,With the parseJSON() method,FALSE,Calling toString() on the string,FALSE,javascript
374,What is the 'async/await' syntax used for in JavaScript?,Writing asynchronous code in a synchronous-like manner,TRUE,Creating new threads for JavaScript execution,FALSE,Forcing a function to execute synchronously,FALSE,Instantly resolving a JavaScript promise,FALSE,javascript
375,Explain the concept of 'promisify' in JavaScript.,Converting a function that takes a callback into a function that returns a promise,TRUE,Making a function promise to return a value,FALSE,A promise that automatically resolves without calling then(),FALSE,Ensuring a function can only be invoked once,FALSE,javascript
376,How do you implement a 'debounce' function in JavaScript?,Limiting the rate at which a function can fire,TRUE,Ensuring a function fires only once,FALSE,Duplicating function calls,FALSE,Preventing asynchronous execution,FALSE,javascript
377,What is the purpose of the 'localStorage' object in JavaScript?,To store data locally within the user's browser,TRUE,To synchronize data across multiple tabs,FALSE,To store temporary data that clears after page reload,FALSE,For local variable storage within a function,FALSE,javascript
378,Describe the difference between 'localStorage' and 'sessionStorage' in JavaScript.,"localStorage' persists until explicitly cleared, while 'sessionStorage' clears when the session ends",TRUE,There is no difference,FALSE,"localStorage' is synchronous, 'sessionStorage' is asynchronous",FALSE,"localStorage' stores data server-side, 'sessionStorage' client-side",FALSE,javascript
379,How can you check if a value is an array in JavaScript?,Using Array.isArray(),TRUE,Using typeof,FALSE,Using instanceOf Array,TRUE,Checking if value.length is defined,FALSE,javascript
380,Explain the concept of the JavaScript 'Event Loop'.,"Manages the execution of multiple scripts, allowing JavaScript to perform non-blocking tasks",TRUE,Loops through an array of events,FALSE,A specialized loop for adding event listeners,FALSE,Ensures all events are executed in sequence,FALSE,javascript
381,What is the purpose of the JavaScript 'Map' object?,To store key-value pairs with any value as the key,TRUE,To iterate over map regions,FALSE,To generate a map view of a data set,FALSE,To transform array elements,FALSE,javascript
382,How do you create and use a 'Set' object in JavaScript?,Using new Set() to create a collection of unique values,TRUE,By setting properties on an object,FALSE,Using the set() method,FALSE,Invoking Set.create(),FALSE,javascript
383,Describe the difference between 'Set' and 'Array' in JavaScript.,"A Set is a collection of unique values, whereas an Array can contain duplicates",TRUE,"Sets are immutable, while Arrays are mutable",FALSE,"Arrays are ordered, Sets are unordered",TRUE,"Arrays can only contain primitive types, Sets can contain objects",FALSE,javascript
384,What is the JavaScript 'Generator' function used for?,Generating a sequence of values on a per-request basis,TRUE,Generating random number sequences,FALSE,Creating HTML generator tags,FALSE,Producing energy for asynchronous operations,FALSE,javascript
385,How do you create and use a generator function in JavaScript?,Using function* syntax and yield,TRUE,By prefixing the function name with 'gen',FALSE,Using the generate keyword,FALSE,With async/await syntax,FALSE,javascript
386,What is the purpose of the JavaScript 'WeakMap' object?,To store a collection of key/value pairs with weakly held keys,TRUE,To enhance map performance,FALSE,For mapping weak signals in event listeners,FALSE,To temporarily store data,FALSE,javascript
387,Describe the concept of 'memoization' in JavaScript.,An optimization technique that caches the return value of function calls,TRUE,Saving data to the browser's memory,FALSE,A method for recording user actions,FALSE,Automatically memorizing syntax rules,FALSE,javascript
388,How do you create a shallow copy of an object in JavaScript?,Using Object.assign() or the spread syntax,TRUE,By iterating over properties with a for loop,FALSE,Creating a new instance of the object class,FALSE,Using JSON.parse(JSON.stringify(object)),FALSE,javascript
389,Explain the purpose of the 'Object.assign' method in JavaScript.,To copy all enumerable own properties from one or more source objects to a target object,TRUE,To assign new objects to classes,FALSE,To define object-oriented assignments,FALSE,To check object assignments for validity,FALSE,javascript
390,What is the JavaScript 'Proxy' object used for?,"Creating an object with custom behavior for fundamental operations (e.g., property lookup, assignment)",TRUE,Monitoring changes to objects,FALSE,Providing a proxy server configuration,FALSE,Proxying network requests,FALSE,javascript
391,How do you create and use a 'Proxy' object in JavaScript?,"By using the new Proxy(target, handler) constructor",TRUE,Instantiating with Proxy.create(),FALSE,By defining a Proxy class,FALSE,Using a proxy configuration function,FALSE,javascript
392,Describe the purpose of the JavaScript 'Intl' object.,"To enable language-sensitive string comparison, number formatting, and date/time formatting",TRUE,For setting international standards in code,FALSE,To translate JavaScript code,FALSE,For configuring international proxies,FALSE,javascript
393,What is the JavaScript 'Array.from' method used for?,Creating a new array instance from an array-like or iterable object,TRUE,Cloning existing arrays,FALSE,Converting all array elements to string format,FALSE,Removing elements from an array,FALSE,javascript
394,Explain the concept of 'caching' in JavaScript.,Storing data in a local store to reuse for subsequent requests without additional server requests,TRUE,Hiding JavaScript code for security,FALSE,Compressing JavaScript files,FALSE,Encoding data transmission,FALSE,javascript
395,How do you create a custom error class in JavaScript?,By extending the Error class,TRUE,Using the error() constructor,FALSE,Implementing an Error interface,FALSE,By declaring a new type of error,FALSE,javascript
396,What is the purpose of the JavaScript 'BigInt' data type?,To represent whole numbers larger than 2^53 - 1,TRUE,For storing large text strings,FALSE,For performing advanced mathematical calculations,FALSE,BigInt is not a data type in JavaScript,FALSE,javascript
397,Describe the concept of 'dependency injection' in JavaScript.,A design pattern in which a component is passed its dependencies rather than creating them itself,TRUE,Injecting dependencies directly into the DOM,FALSE,For injecting scripts into pages asynchronously,FALSE,A method for reducing dependencies in code,FALSE,javascript
398,How do you implement dependency injection in JavaScript?,By passing dependencies as arguments to functions or constructors,TRUE,Using the import/export syntax,FALSE,Through global variables,FALSE,Dependency injection cannot be implemented in JavaScript,FALSE,javascript
399,What is the JavaScript 'Symbol' data type used for?,"Creating unique, immutable identifiers for object properties",TRUE,Symbolic mathematics computation,FALSE,For creating symbolic links between objects,FALSE,Symbol is not a data type but a function in JavaScript,FALSE,javascript
400,Explain the concept of 'event-driven programming' in JavaScript.,Programming paradigm where the flow of the program is determined by events,TRUE,A method that only runs when user events are detected,FALSE,Programming based on the occurrence of events in a queue,FALSE,Driving the program execution through DOM events exclusively,FALSE,javascript
